name,from,to,reason
群管理(1),/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/其他项目/群管理(1),/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/群管理_社群模块/群管理(1),群管理全套归入蜂乐玛
群管理(1).rp,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/AI源文件/群管理(1).rp,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/群管理_社群模块/群管理(1).rp,群管理全套归入蜂乐玛
群管理(1).zip,/Users/binbinchen/Downloads/已整理_2026-06-30/07_压缩包_待确认/未识别压缩包/群管理(1).zip,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/群管理_社群模块/群管理(1).zip,群管理全套归入蜂乐玛
群管理(1) (1).zip,/Users/binbinchen/Downloads/已整理_2026-06-30/07_压缩包_待确认/未识别压缩包/群管理(1) (1).zip,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/群管理_社群模块/群管理(1) (1).zip,群管理全套归入蜂乐玛
微信群管理  新建微信群.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/微信群管理  新建微信群.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/微信群管理  新建微信群.png,微信群管理截图归入蜂乐玛
微信群管理 入群人名单列表.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/微信群管理 入群人名单列表.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/微信群管理 入群人名单列表.png,微信群管理截图归入蜂乐玛
微信群管理 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/微信群管理 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/微信群管理 副本.png,微信群管理截图归入蜂乐玛
微信群管理.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/微信群管理.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/微信群管理.png,微信群管理截图归入蜂乐玛
微信群管理  新建微信群 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/通用素材/微信群管理  新建微信群 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_微信社群/微信群管理  新建微信群 副本.png,微信群管理截图归入蜂乐玛
app-消息中心.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/app-消息中心.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/app-消息中心.png,同批后台订单客服会员UI归入蜂乐玛
今日新增扫码详情.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/今日新增扫码详情.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/今日新增扫码详情.png,同批后台订单客服会员UI归入蜂乐玛
会员中心  (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/会员中心  (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/会员中心  (1).png,同批后台订单客服会员UI归入蜂乐玛
会员中心 .png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/会员中心 .png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/会员中心 .png,同批商城前台UI归入蜂乐玛
会员等级 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/会员等级 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/会员等级 (1).png,同批商城前台UI归入蜂乐玛
会员等级 (2).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/会员等级 (2).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/会员等级 (2).png,同批后台订单客服会员UI归入蜂乐玛
会员等级 (3).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/会员等级 (3).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/会员等级 (3).png,同批后台订单客服会员UI归入蜂乐玛
会员等级.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/会员等级.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/会员等级.png,同批商城前台UI归入蜂乐玛
商家同意退货申请.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/商家同意退货申请.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/商家同意退货申请.png,同批后台订单客服会员UI归入蜂乐玛
回访单-订单回访记录 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/回访单-订单回访记录 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/回访单-订单回访记录 副本.png,同批后台订单客服会员UI归入蜂乐玛
回访单-订单回访记录.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/回访单-订单回访记录.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/回访单-订单回访记录.png,同批后台订单客服会员UI归入蜂乐玛
客服.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/客服.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/客服.png,同批后台订单客服会员UI归入蜂乐玛
客服信息 展示 副本 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/客服信息 展示 副本 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/客服信息 展示 副本 (1).png,同批后台订单客服会员UI归入蜂乐玛
客服信息 展示 副本 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/客服信息 展示 副本 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/客服信息 展示 副本 副本.png,同批后台订单客服会员UI归入蜂乐玛
客服信息 展示 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/客服信息 展示 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/客服信息 展示 副本.png,同批后台订单客服会员UI归入蜂乐玛
客服管理 副本 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/客服管理 副本 (1).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/客服管理 副本 (1).png,同批商城前台UI归入蜂乐玛
客服管理 副本 (2).png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/客服管理 副本 (2).png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/客服管理 副本 (2).png,同批后台订单客服会员UI归入蜂乐玛
客服管理 副本 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/客服管理 副本 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/客服管理 副本 副本.png,同批后台订单客服会员UI归入蜂乐玛
客服管理 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/客服管理 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2025-11_商城前台_会员订单购物车/客服管理 副本.png,同批商城前台UI归入蜂乐玛
客服管理 新建客服信息 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/02_素材与设计/UI截图/客服管理 新建客服信息 副本.png,/Users/binbinchen/Downloads/已整理_2026-06-30/01_项目资料/蜂乐玛/UI设计截图/2026-01-26_后台运营_订单客服会员/客服管理 新建客服信息 副本.png,同批后台订单客服会员UI归入蜂乐玛
